사업장명,지번주소,도로명주소,업태구분명,구,경도,위도
백리향,서울특별시 광진구 자양동 631-22 ,서울특별시 광진구 자양로13길 63 (자양동),중국식,광진구,127.0812982,37.53363919
서울김밥,서울특별시 광진구 자양동 1-20 ,"서울특별시 광진구 동일로20길 113, 1층 (자양동)",분식,광진구,127.0696699,37.53967861
어홍리광장숯불구이,서울특별시 광진구 광장동 246-11 ,"서울특별시 광진구 천호대로 799, 1층 (광장동)",식육(숯불구이),광진구,127.1025866,37.54600238
연타이,서울특별시 광진구 광장동 258-36 ,"서울특별시 광진구 광장로 45, 1층 103호 (광장동)","외국음식전문점(인도,태국등)",광진구,127.1023168,37.54701501
주민카츠,서울특별시 광진구 광장동 337-4 ,"서울특별시 광진구 아차산로 624, 1층 (광장동)",일식,광진구,127.1075658,37.54820373
엄마반찬,서울특별시 광진구 광장동 288-16 ,"서울특별시 광진구 광장로 64-1, 1층 102호 (광장동)",한식,광진구,127.1043455,37.54726077
뉴민스,서울특별시 광진구 군자동 465-17 ,"서울특별시 광진구 천호대로102길 35, 1층 (군자동)",한식,광진구,127.0736216,37.55746148
오하이오 커피하우스(OHIO COFFEE HOUSE),서울특별시 광진구 자양동 635-1 ,"서울특별시 광진구 자양로13길 103, 1층 (자양동)",기타,광진구,127.0799468,37.53233273
사당커피스테이션,서울특별시 관악구 남현동 1061-17,"서울특별시 관악구 과천대로 941, 4층 (남현동)",기타,관악구,126.981332,37.47466923
알리타 유기농죽,서울특별시 광진구 자양동 553-438 ,"서울특별시 광진구 뚝섬로 515, 지하1층 (자양동)",한식,광진구,127.0676262,37.53567501
슈안,서울특별시 광진구 군자동 469-10 ,"서울특별시 광진구 면목로 29, 2층 (군자동)",중국식,광진구,127.0760617,37.556799
추억닭발,서울특별시 광진구 구의동 248-11 ,"서울특별시 광진구 자양로26길 32, 1층 (구의동)",한식,광진구,127.0856554,37.54137798
노을집,서울특별시 광진구 군자동 51-24 ,"서울특별시 광진구 군자로 159, 1층 (군자동)",한식,광진구,127.0766258,37.55533035
강변오리,서울특별시 광진구 중곡동 39-47 ,"서울특별시 광진구 긴고랑로 67-1, 1층 전부호 (중곡동)",일식,광진구,127.0836061,37.56181761
마라강호 마라탕,서울특별시 광진구 군자동 150-22 ,"서울특별시 광진구 군자로 129-1, 1.2층 (군자동)",중국식,광진구,127.0736406,37.55375083
장수왕족발,서울특별시 광진구 자양동 794 드림타운 ,"서울특별시 광진구 아차산로 312, 드림타운 1층 104호 (자양동)",한식,광진구,127.0773477,37.537745
제너두(Xanadu),서울특별시 광진구 자양동 227-263 ,"서울특별시 광진구 자양번영로 69, 5층 (자양동)",기타,광진구,127.0762084,37.53574629
더 플레이팅,서울특별시 광진구 군자동 355-11 ,"서울특별시 광진구 광나루로 343, 203호 (군자동)",한식,광진구,127.0681389,37.54855137
빡스피자 건대점,서울특별시 광진구 구의동 67-24 ,"서울특별시 광진구 광나루로35길 12, 1층 101호 (구의동)",기타,광진구,127.0868594,37.5454592
스위츠 포레스트(Sweet for:est),서울특별시 광진구 중곡동 257-37 ,"서울특별시 광진구 면목로 86, 1층 (중곡동)",기타,광진구,127.0789032,37.5613156
쉐프의차돌집 건대점,서울특별시 광진구 군자동 360-20 광진 동양파라곤 1단지,"서울특별시 광진구 광나루로 361, 제지1층 제비101호  주방2호 (군자동, 광진 동양파라곤 1단지)",한식,광진구,127.0702199,37.54856797
터벅하우스,서울특별시 광진구 군자동 369-16,"서울특별시 광진구 군자로10길 36, 1층 (군자동)",기타,광진구,127.0726643,37.54921262
가마로강정구의사거리점,서울특별시 광진구 구의동 66-59 화우 ,"서울특별시 광진구 광나루로 533, 화우 1층 (구의동)",호프/통닭,광진구,127.0888641,37.54507318
헤이티 건대점,서울특별시 광진구 자양동 10-35 ,"서울특별시 광진구 동일로20길 50, 1층 (자양동)",기타,광진구,127.0662987,37.54061291
광진비어,서울특별시 광진구 자양동 553-187 ,"서울특별시 광진구 뚝섬로 510, 1층 (자양동)",호프/통닭,광진구,127.066943,37.53551621
프리티워모,서울특별시 광진구 군자동 473-18 ,"서울특별시 광진구 천호대로 544, 2층 (군자동)",한식,광진구,127.0783859,37.5572191
차고집냉면,서울특별시 광진구 화양동 527 KCC파크타운104호일부 ,"서울특별시 광진구 광나루로 410, KCC파크타운 1층 104(일부)호 (화양동)",기타,광진구,127.0750122,37.5465595
산카이,서울특별시 광진구 화양동 9-87 ,"서울특별시 광진구 동일로22길 87, 2층 (화양동)",일식,광진구,127.0690152,37.54123494
부오이서울,서울특별시 광진구 자양동 203-11 ,서울특별시 광진구 뚝섬로22길 39 (자양동),기타,광진구,127.0612012,37.53525467
미아리우동집 중곡점,서울특별시 광진구 중곡동 24-3 금빛유치원 ,"서울특별시 광진구 용마산로 107, 금빛유치원 1층 102호 (중곡동)",한식,광진구,127.0867087,37.56318749
포씨애틀(구의점),서울특별시 광진구 자양동 779-6 ,"서울특별시 광진구 아차산로 361, 1층 (자양동)",한식,광진구,127.0829275,37.5370279
스칼라또,서울특별시 광진구 화양동 94-60 ,"서울특별시 광진구 능동로 165, 1층 (화양동)",기타,광진구,127.0729996,37.54550752
파스타 왔어요 중곡점,서울특별시 광진구 중곡동 33-33 ,"서울특별시 광진구 능동로48길 33, 1층 101호 (중곡동)",한식,광진구,127.0843938,37.56238794
