사업장명,지번주소,도로명주소,업태구분명,구,경도,위도,구글가게명,구글주소,별점,카테고리,리뷰수,구글위도,구글경도
본죽&비빔밥 길음역점,"서울특별시 성북구 길음동 1276번지 삼부아파트 1층 13,14호 ","서울특별시 성북구 동소문로 248, 1층 13,14호 (길음동, 삼부아파트)",한식,성북구,127.0237759,37.60277268,본죽&비빔밥cafe 길음역점,서울특별시 성북구 동소문로 248,4.3,죽 전문점,8,37.602671,127.0236243
등촌샤브칼국수 석관점,서울특별시 성북구 석관동 119-3번지 1층 ,"서울특별시 성북구 한천로76길 56, 1층 (석관동)",한식,성북구,127.0657591,37.61095336,등촌샤브칼국수 석관점,서울특별시 성북구 석관동 119-3,4.5,음식점,37,37.6109265,127.0657318
필비치가든스,서울특별시 성북구 안암동5가 103-27 ,"서울특별시 성북구 고려대로24길 3-28, 지상1층 (안암동5가)",기타,성북구,127.0296735,37.58545692,필비치가든스,서울특별시 성북구 고려대로24길 3-28 1층,4.1,꽃집,7,37.5853713,127.0296838
동근이숯불두마리치킨 성북구점,서울특별시 성북구 하월곡동 81-479 1층 ,"서울특별시 성북구 오패산로3길 146, 1층 (하월곡동)",호프/통닭,성북구,127.0330082,37.60950708,동근이숯불두마리치킨성북구점,번지 1층 101 KR 서울특별시 성북구 하월곡동 81-479 호 건축물좌측,4.0,음식점,1,37.6094796,127.0329756
금뚜껑,서울특별시 성북구 동선동2가 4 ,"서울특별시 성북구 동소문로22길 64, 1층 (동선동2가)",한식,성북구,127.0185402,37.59028099,금뚜껑,서울특별시 성북구 동선동 동소문로22길 64,3.6,음식점,8,37.5902132,127.0185037
우리할매떡볶이 성신여대점,서울특별시 성북구 동선동2가 157 1층 ,"서울특별시 성북구 보문로30길 82, 1층 (동선동2가)",분식,성북구,127.020016,37.59109688,우리할매떡볶이 성신여대점,서울특별시 성북구 보문로30길 82,4.1,음식점,57,37.5910901,127.0199474
계모임,서울특별시 성북구 동선동2가 62 ,"서울특별시 성북구 보문로30라길 5-10, 1층 (동선동2가)",식육(숯불구이),성북구,127.0192154,37.58957279,계모임,서울특별시 성북구 동선동 보문로30라길 5-10,4.3,닭요리전문점,106,37.5895724,127.0192155
카페쏙,서울특별시 성북구 상월곡동 64-1 1층 ,"서울특별시 성북구 장월로1길 66, 1층 (상월곡동)",기타,성북구,127.0446003,37.60582735,카페쏙,서울특별시 성북구 장월로1길 66,5.0,카페,2,37.6058111,127.0446361
스시포유(sushi for you),서울특별시 성북구 동소문동5가 118-13 2층 ,"서울특별시 성북구 동소문로20길 28-3, 2층 (동소문동5가)",일식,성북구,127.0164754,37.59115457,김태완스시 성신여대점초밥,서울특별시 성북구 동소문동5가 동소문로20길 32,4.2,스시/초밥집,174,37.5911004,127.0166248
500소갈비살,서울특별시 성북구 정릉동 413-10 1층 ,"서울특별시 성북구 보국문로 18, 1층 (정릉동)",한식,성북구,127.0113082,37.60620203,현방오백소갈비살,서울특별시 성북구 보국문로 18 1 층,4.3,숯불구이/바베큐전문점,9,37.6061534,127.0112792
프랭크버거 월곡점,서울특별시 성북구 하월곡동 79-107 에스엠메디칼1층 106호,"서울특별시 성북구 월계로 52, 에스엠메디칼 1층 106호 (하월곡동)",기타,성북구,127.0355471,37.6114339,프랭크버거 서울 월곡점,서울특별시 성북구 월계로 52,4.3,햄버거 전문점,52,37.6114335,127.0355473
